ticker,sector,start_date,end_date,trading_days,start_price,end_price,total_return_pct,avg_daily_return,annualised_vol,max_drawdown_pct,avg_rsi,pct_days_overbought,pct_days_oversold,avg_bb_width,avg_atr_pct,macd_bullish_signals,macd_bearish_signals,avg_volume
TCS.NS,IT,2020-01-28,2026-04-07,1616,1884.29,2539.8,34.79,0.0298,23.41,-45.36,51.1,6.75,6.81,0.0949,2.0732,63,62,2745493
INFY.NS,IT,2020-01-28,2026-04-07,1616,668.51,1339.4,100.36,0.0573,26.85,-37.14,52.45,8.17,6.87,0.1109,2.2533,56,56,7736252
WIPRO.NS,IT,2020-01-28,2026-04-07,1616,112.49,204.72,82.0,0.0523,28.07,-50.02,51.56,8.91,6.25,0.1181,2.4702,60,59,16007441
HDFCBANK.NS,Banking,2020-01-28,2026-04-07,1616,579.29,772.0,33.27,0.0308,25.11,-38.53,51.47,6.5,4.64,0.0969,2.0898,64,63,26532510
AXISBANK.NS,Banking,2020-01-28,2026-04-07,1616,734.08,1250.1,70.29,0.0555,33.57,-59.86,52.22,6.31,5.26,0.1256,2.7095,61,61,12686681
SBIN.NS,Banking,2020-01-28,2026-04-07,1616,290.75,1030.4,254.4,0.0964,30.28,-54.04,54.32,11.51,2.66,0.1239,2.5626,63,62,25419227
MARUTI.NS,Auto,2020-01-28,2026-04-07,1616,6646.45,12798.0,92.55,0.0548,28.01,-44.28,52.42,8.48,3.71,0.1076,2.401,67,66,705189
M&M.NS,Auto,2020-01-28,2026-04-07,1616,543.83,3006.6,452.86,0.1258,32.29,-53.97,54.29,10.89,3.16,0.1368,2.879,62,62,3744063
HEROMOTOCO.NS,Auto,2020-01-28,2026-04-07,1616,1963.57,5051.0,157.24,0.075,28.63,-42.16,52.38,10.83,5.32,0.1193,2.6603,62,63,837197
HINDUNILVR.NS,FMCG,2020-01-28,2026-04-07,1616,1862.03,2110.6,13.35,0.0178,22.58,-30.46,50.25,6.25,4.58,0.0872,2.0304,60,60,2060349
ITC.NS,FMCG,2020-01-28,2026-04-07,1616,168.04,298.45,77.6,0.0461,24.08,-39.63,52.05,9.78,4.46,0.095,2.0867,65,64,20298157
NESTLEIND.NS,FMCG,2020-01-28,2026-04-07,1616,720.37,1222.8,69.75,0.0407,21.31,-22.88,51.62,4.7,2.91,0.081,2.0438,67,67,1730898
NTPC.NS,Energy,2020-01-28,2026-04-07,1616,87.33,368.85,322.38,0.1035,27.4,-34.62,53.82,9.9,2.41,0.1132,2.6222,66,66,16933114
ONGC.NS,Energy,2020-01-28,2026-04-07,1616,78.1,286.65,267.01,0.1052,35.5,-49.0,53.12,8.17,2.54,0.1342,2.9949,66,65,19526903
POWERGRID.NS,Energy,2020-01-28,2026-04-07,1616,74.7,295.4,295.43,0.0989,27.09,-29.56,53.49,6.19,1.05,0.1023,2.579,63,64,16787745
